iter	Passed	Remaining
0	379	379481
1	381	190262
2	382	127100
3	383	95514
4	384	76560
5	385	63928
6	388	55070
7	389	48300
8	390	43036
9	392	38820
10	393	35371
11	394	32500
12	395	30063
13	397	27969
14	399	26210
15	402	24772
16	403	23357
17	405	22098
18	406	20977
19	407	19962
20	408	19050
21	409	18216
22	412	17506
23	416	16925
24	419	16349
25	420	15749
26	421	15192
27	422	14673
28	423	14192
29	424	13740
30	426	13320
31	427	12931
32	428	12569
33	430	12233
34	431	11902
35	432	11590
36	434	11297
37	435	11025
38	436	10765
39	438	10512
40	439	10272
41	440	10045
42	441	9826
43	442	9623
44	444	9440
45	445	9249
46	447	9066
47	448	8893
48	449	8727
49	451	8570
50	452	8414
51	458	8362
52	464	8301
53	466	8166
54	467	8031
55	468	7903
56	470	7783
57	472	7676
58	474	7562
59	475	7451
60	476	7340
61	478	7234
62	479	7128
63	480	7026
64	481	6926
65	482	6830
66	483	6736
67	484	6645
68	486	6557
69	487	6483
70	489	6402
71	490	6321
72	491	6246
73	493	6170
74	494	6096
75	495	6026
76	496	5955
77	498	5889
78	499	5822
79	500	5757
80	503	5707
81	504	5647
82	505	5580
83	506	5521
84	507	5462
85	508	5405
86	509	5349
87	510	5294
88	511	5240
89	513	5187
90	514	5136
91	515	5085
92	518	5052
93	519	5004
94	520	4957
95	521	4910
96	522	4864
97	523	4819
98	524	4774
99	525	4731
100	526	4689
101	527	4647
102	528	4606
103	530	4566
104	532	4539
105	535	4513
106	536	4477
107	538	4447
108	539	4413
109	541	4378
110	542	4342
111	543	4307
112	544	4273
113	545	4239
114	552	4254
115	556	4238
116	557	4204
117	558	4172
118	559	4140
119	560	4109
120	561	4081
121	563	4055
122	564	4025
123	565	3996
124	566	3967
125	567	3939
126	568	3910
127	569	3882
128	571	3856
129	572	3829
130	573	3803
131	574	3777
132	575	3752
133	577	3735
134	579	3710
135	580	3685
136	581	3661
137	582	3637
138	583	3613
139	584	3593
140	586	3572
141	587	3548
142	588	3526
143	589	3504
144	590	3482
145	592	3467
146	594	3446
147	595	3425
148	596	3404
149	597	3384
150	598	3365
151	599	3345
152	600	3325
153	601	3306
154	602	3286
155	603	3267
156	605	3248
157	606	3230
158	608	3217
159	609	3199
160	610	3179
161	611	3161
162	612	3144
163	613	3127
164	614	3110
165	615	3093
166	616	3076
167	617	3060
168	619	3043
169	620	3027
170	622	3017
171	623	3002
172	626	2997
173	628	2982
174	629	2969
175	631	2955
176	632	2941
177	633	2926
178	634	2911
179	635	2897
180	638	2887
181	642	2885
182	643	2872
183	644	2858
184	645	2843
185	646	2829
186	647	2815
187	648	2802
188	649	2788
189	650	2775
190	653	2766
191	654	2752
192	655	2740
193	656	2727
194	657	2714
195	658	2702
196	659	2689
197	660	2676
198	661	2664
199	663	2652
200	664	2640
201	665	2627
202	667	2620
203	668	2609
204	669	2597
205	670	2586
206	672	2574
207	673	2562
208	674	2551
209	675	2540
210	676	2529
211	677	2518
212	678	2507
213	679	2496
214	680	2485
215	682	2478
216	684	2468
217	685	2457
218	686	2446
219	687	2436
220	688	2426
221	689	2416
222	690	2405
223	691	2395
224	692	2385
225	693	2375
226	694	2365
227	696	2359
228	698	2350
229	699	2341
230	700	2331
231	701	2322
232	702	2313
233	703	2303
234	704	2294
235	705	2285
236	706	2276
237	708	2266
238	709	2257
239	710	2248
240	712	2245
241	714	2236
242	715	2227
243	716	2221
244	718	2214
245	719	2206
246	720	2197
247	722	2189
248	723	2181
249	724	2173
250	727	2170
251	728	2162
252	730	2156
253	731	2148
254	732	2141
255	735	2136
256	736	2129
257	737	2121
258	739	2115
259	742	2112
260	743	2104
261	744	2097
262	746	2092
263	748	2085
264	749	2078
265	750	2071
266	752	2064
267	753	2057
268	755	2051
269	760	2054
270	762	2050
271	763	2043
272	764	2036
273	765	2029
274	767	2023
275	768	2016
276	771	2014
277	774	2011
278	775	2005
279	777	1999
280	778	1993
281	780	1986
282	781	1980
283	791	1994
284	793	1989
285	794	1983
286	796	1979
287	799	1976
288	807	1987
289	814	1994
290	816	1989
291	819	1985
292	827	1997
293	829	1990
294	830	1984
295	835	1986
296	836	1980
297	838	1974
298	839	1968
299	840	1961
300	842	1955
301	843	1950
302	844	1943
303	846	1938
304	849	1935
305	851	1930
306	852	1924
307	853	1918
308	854	1911
309	856	1905
310	857	1899
311	858	1893
312	859	1887
313	862	1883
314	865	1881
315	866	1875
316	867	1870
317	870	1865
318	871	1860
319	873	1856
320	876	1854
321	878	1849
322	880	1844
323	884	1846
324	886	1841
325	888	1836
326	890	1832
327	892	1827
328	893	1823
329	895	1818
330	899	1818
331	901	1813
332	903	1809
333	905	1804
334	907	1800
335	909	1796
336	933	1835
337	935	1832
338	938	1830
339	946	1836
340	948	1832
341	950	1829
342	954	1828
343	957	1825
344	961	1826
345	964	1823
346	966	1818
347	970	1818
348	981	1830
349	988	1836
350	997	1844
351	999	1839
352	1001	1835
353	1004	1833
354	1006	1828
355	1008	1824
356	1011	1820
357	1012	1816
358	1015	1813
359	1024	1821
360	1026	1817
361	1028	1812
362	1030	1807
363	1031	1802
364	1033	1797
365	1036	1795
366	1038	1791
367	1040	1786
368	1043	1784
369	1045	1779
370	1046	1774
371	1047	1768
372	1049	1764
373	1053	1762
374	1054	1757
375	1055	1752
376	1056	1746
377	1058	1741
378	1059	1736
379	1066	1740
380	1068	1735
381	1070	1732
382	1072	1727
383	1073	1721
384	1074	1716
385	1075	1711
386	1079	1709
387	1080	1704
388	1081	1699
389	1083	1694
390	1084	1689
391	1085	1683
392	1086	1678
393	1087	1673
394	1089	1667
395	1090	1662
396	1092	1659
397	1094	1655
398	1095	1650
